"";"x"
"335";"ENSMUSG00000001901"
"336";"ENSMUSG00000001909"
"337";"ENSMUSG00000001910"
"338";"ENSMUSG00000001911"
"339";"ENSMUSG00000001918"
"340";"ENSMUSG00000001924"
"341";"ENSMUSG00000001930"
"342";"ENSMUSG00000001942"
"343";"ENSMUSG00000001943"
"344";"ENSMUSG00000001946"
"345";"ENSMUSG00000001948"
"346";"ENSMUSG00000001962"
"347";"ENSMUSG00000001964"
"348";"ENSMUSG00000001983"
"349";"ENSMUSG00000001985"
"350";"ENSMUSG00000001986"
"351";"ENSMUSG00000001988"
"352";"ENSMUSG00000001995"
"353";"ENSMUSG00000001998"
"354";"ENSMUSG00000001999"
"355";"ENSMUSG00000002006"
"356";"ENSMUSG00000002007"
"357";"ENSMUSG00000002010"
"358";"ENSMUSG00000002012"
"359";"ENSMUSG00000002014"
"360";"ENSMUSG00000002015"
"361";"ENSMUSG00000002017"
"362";"ENSMUSG00000002020"
"363";"ENSMUSG00000002028"
"364";"ENSMUSG00000002031"
"365";"ENSMUSG00000002032"
"366";"ENSMUSG00000002033"
"367";"ENSMUSG00000002043"
"368";"ENSMUSG00000002052"
"369";"ENSMUSG00000002055"
"370";"ENSMUSG00000002057"
"371";"ENSMUSG00000002058"
"372";"ENSMUSG00000002059"
"373";"ENSMUSG00000002064"
"374";"ENSMUSG00000002068"
"375";"ENSMUSG00000002076"
"376";"ENSMUSG00000002083"
"377";"ENSMUSG00000002100"
"378";"ENSMUSG00000002102"
"379";"ENSMUSG00000002103"
"380";"ENSMUSG00000002104"
"381";"ENSMUSG00000002105"
"382";"ENSMUSG00000002107"
"383";"ENSMUSG00000002108"
"384";"ENSMUSG00000002109"
"385";"ENSMUSG00000002111"
"386";"ENSMUSG00000002129"
"387";"ENSMUSG00000002147"
"388";"ENSMUSG00000002190"
"389";"ENSMUSG00000002204"
"390";"ENSMUSG00000002205"
"391";"ENSMUSG00000002210"
"392";"ENSMUSG00000002221"
"393";"ENSMUSG00000002222"
"394";"ENSMUSG00000002227"
"395";"ENSMUSG00000002228"
"396";"ENSMUSG00000002233"
"397";"ENSMUSG00000002240"
"398";"ENSMUSG00000002249"
"399";"ENSMUSG00000002250"
"400";"ENSMUSG00000002257"
"401";"ENSMUSG00000002265"
"402";"ENSMUSG00000002266"
"403";"ENSMUSG00000002274"
"404";"ENSMUSG00000002279"
"405";"ENSMUSG00000002280"
"406";"ENSMUSG00000002289"
"407";"ENSMUSG00000002297"
"408";"ENSMUSG00000002307"
"409";"ENSMUSG00000002308"
"410";"ENSMUSG00000002319"
"411";"ENSMUSG00000002320"
"412";"ENSMUSG00000002324"
"413";"ENSMUSG00000002325"
"414";"ENSMUSG00000002326"
